name,eng_position,DIVISION,attack_percentage,block_total,serve_percentage,receive_percentage,dig_percentage,set_percentage,total_point_score,national_team
渡邊侑磨,Middle Blocker,Mens Division,0.4286,18.0,0.007,0.3333,0.0526,0.125,79.0,0
郭家銘,Opposite Hitter,Mens Division,0.3885,8.0,0.0231,0.0459,0.1149,0.0,126.0,0
甘明修,Outside Hitter,Mens Division,0.4602,69.0,0.083,0.3535,0.1509,0.2154,766.0,0
張弘燁,Middle Blocker,Mens Division,0.44,4.0,0.0,0.1481,0.0833,0.2,26.0,0
吳致廷,Setter,Mens Division,0.303,23.0,0.0132,0.1667,0.1495,0.3078,38.0,0
黃鷹,Outside Hitter,Mens Division,0.3788,7.0,0.0235,0.3483,0.0412,,86.0,0
陳昭銘,Outside Hitter,Mens Division,0.4772,48.0,0.0379,0.2864,0.0619,0.125,407.0,0
陳建彰,Middle Blocker,Mens Division,0.4601,19.0,0.0313,0.15,0.0833,0.0,102.0,0
黃柏叡,Libero,Mens Division,,0.0,,0.46,0.2291,0.1437,0.0,0
陳昱豪,Outside Hitter,Mens Division,0.5556,0.0,0.0909,0.2353,0.0714,,6.0,0
鄧岳盺,Outside Hitter,Mens Division,0.4181,12.0,0.014,0.1835,0.0878,0.1,134.0,0
林政瑋,Middle Blocker,Mens Division,0.4154,57.0,0.0475,0.325,0.1323,0.0476,246.0,0
李沛恩,Setter,Mens Division,0.4483,15.0,0.0336,0.1429,0.1304,0.3829,37.0,0
曹晉誥,Outside Hitter,Mens Division,0.5556,0.0,0.0,0.2143,0.15,0.0,5.0,0
劉欣叡,Middle Blocker,Mens Division,0.0,0.0,0.0,,0.0,,0.0,0
陳冠中,Outside Hitter,Mens Division,0.4254,29.0,0.0216,0.1333,0.099,0.1176,90.0,0
林佾煒,Outside Hitter,Mens Division,,0.0,0.0,,0.0,,0.0,0
鄭振堃,Outside Hitter,Mens Division,0.3929,5.0,0.0,0.0,0.0909,,16.0,0
欒妤雯,Setter,Womens Division,0.1795,12.0,0.0482,0.1667,0.1458,0.2157,60.0,0
諶品璇,Middle Blocker,Womens Division,0.2214,6.0,0.0234,0.1667,0.1069,0.0435,38.0,0
張瑋安,Outside Hitter,Womens Division,0.2714,5.0,0.1,0.1301,0.1162,0.0196,110.0,0
陳盈綺,Middle Blocker,Womens Division,0.3255,12.0,0.0307,0.3125,0.1145,0.0,86.0,0
謝靖瑩,Setter,Womens Division,0.2943,24.0,0.0272,0.2515,0.167,0.2049,139.0,0
林姿吟,Libero,Womens Division,,0.0,,0.2392,0.1818,0.0294,0.0,0
張芷瑄,Libero,Womens Division,0.0,0.0,,0.2436,0.234,0.0682,0.0,0
張庭語,Setter,Womens Division,0.5333,1.0,0.0584,0.0,0.0977,0.2805,18.0,0
彭?媃,Outside Hitter,Womens Division,0.3482,27.0,0.047,0.4426,0.2757,0.0833,841.0,0
李佳蓁,Middle Blocker,Womens Division,0.3333,0.0,0.0345,0.0,0.0732,0.1,14.0,0
高歆媛,Outside Hitter,Womens Division,0.2678,6.0,0.0435,0.1951,0.2703,0.0189,92.0,0
潘宣蓉,Opposite Hitter,Womens Division,0.2976,32.0,0.0409,0.16,0.1621,0.0,287.0,0
許惠瑩,Outside Hitter,Womens Division,0.3065,6.0,0.0826,0.2739,0.2319,0.0,177.0,0
Colleen Ogilvie,Outside Hitter,Womens Division,0.3333,6.0,0.0571,0.1829,0.1387,0.0,64.0,0
徐薏梅,Outside Hitter,Womens Division,0.3379,27.0,0.0252,0.0,0.1188,0.0,132.0,0
陳怡伶,Libero,Womens Division,,0.0,0.0,0.2444,0.1385,0.0,0.0,0
張芷瑄,Middle Blocker,Womens Division,0.3,9.0,0.0292,0.1878,0.1139,0.0952,128.0,0
Matea Magdic,Outside Hitter,Womens Division,0.3805,33.0,0.1036,0.1961,0.1012,0.0417,314.0,0
陳巧聆,Setter,Womens Division,0.2632,6.0,0.0179,0.0,0.1424,0.2414,21.0,0
葉于雯,Middle Blocker,Womens Division,0.4062,156.0,0.0352,0.3649,0.169,0.0517,801.0,0
龔詩雯,Outside Hitter,Womens Division,0.2936,18.0,0.0508,0.3595,0.21,0.0,389.0,0
楊怡真,Setter,Womens Division,0.3636,6.0,0.0495,0.0,0.1939,0.2563,55.0,0
Dubravka Vukoja,Setter,Womens Division,0.4231,3.0,0.0115,0.0,0.0803,0.1699,15.0,0
黃素琴,Libero,Womens Division,0.3333,0.0,0.0,0.3225,0.2221,0.0183,1.0,0
Natasa Cikiriz,Outside Hitter,Womens Division,0.375,28.0,0.0658,0.1683,0.1464,0.0714,191.0,0
陳昱,Libero,Womens Division,,0.0,,0.3136,0.25,0.0,0.0,0
阮霈文,Middle Blocker,Womens Division,0.0,0.0,0.0,,0.0,,0.0,0
鄧衍敏,Outside Hitter,Womens Division,0.3388,6.0,0.0253,0.3889,0.1625,0.1111,111.0,0
Hanna Kalinouskaya,Middle Blocker,Womens Division,0.4857,22.0,0.0247,0.0,0.0714,0.1667,92.0,0
顧乃涵,Outside Hitter,Womens Division,0.2703,0.0,0.0,0.4,0.3019,0.1429,10.0,0
陳仕東,Middle Blocker,Mens Division,0.5484,14.0,0.0061,0.3333,0.1667,0.0,49.0,0
鄧岳昕,Outside Hitter,Mens Division,0.3704,1.0,0.027,0.194,0.0833,0.0,32.0,0
李連鑫,Outside Hitter,Mens Division,0.4375,1.0,0.0,0.0,0.25,,8.0,0
李權紘,Opposite Hitter,Mens Division,0.4542,29.0,0.0547,0.1429,0.1226,0.25,179.0,0
曾茂聰,Opposite Hitter,Mens Division,0.4841,41.0,0.0475,0.3333,0.1972,0.3333,470.0,0
湯貴全,Libero,Mens Division,,0.0,,0.4185,0.2552,0.371,0.0,0
張祐晨,Outside Hitter,Mens Division,0.4123,42.0,0.0499,0.4654,0.215,0.5455,512.0,0
陳威舜,Outside Hitter,Mens Division,0.4541,11.0,0.049,0.3588,0.1111,0.0,100.0,0
朱凱逸,Opposite Hitter,Mens Division,0.4306,5.0,0.0636,0.3214,0.0968,0.0,102.0,0
王俊傑,Middle Blocker,Mens Division,0.4488,61.0,0.0229,0.1316,0.106,0.0,235.0,0
郭家銘,Outside Hitter,Mens Division,0.3985,14.0,0.0313,0.3385,0.162,0.0,177.0,0
鄭振堃,Middle Blocker,Mens Division,0.4862,53.0,0.0171,0.16,0.0543,0.0,217.0,0
黃意凱,Libero,Mens Division,,0.0,,0.4607,0.2401,0.0,0.0,0
BoBo,Middle Blocker,Womens Division,0.4505,38.0,0.0483,0.3846,0.1091,0.25,145.0,0
江思萳,Middle Blocker,Womens Division,0.3025,11.0,0.0698,0.1935,0.1058,0.0,56.0,0
Cika,Setter,Womens Division,0.2973,17.0,0.0415,0.0,0.1986,0.3143,37.0,0
王珮玲,Middle Blocker,Womens Division,0.2,0.0,0.0,,0.5,0.0,1.0,0
陳莉鎔,Setter,Womens Division,0.3707,16.0,0.0317,,0.2393,0.2782,70.0,0
余䒩語,Middle Blocker,Womens Division,0.3537,65.0,0.0377,0.087,0.1361,0.0526,279.0,0
Anny,Middle Blocker,Womens Division,0.4472,61.0,0.0365,0.1667,0.1754,0.125,232.0,0
Jessica,Outside Hitter,Womens Division,0.3495,45.0,0.0328,0.3778,0.2154,0.1667,371.0,0
張芷瑄,Outside Hitter,Womens Division,0.2658,19.0,0.0693,0.3491,0.1711,0.0833,184.0,0
Miri,Outside Hitter,Womens Division,0.35,34.0,0.0881,0.3758,0.214,0.1923,267.0,0
Matea,Outside Hitter,Womens Division,0.3215,25.0,0.0359,0.2469,0.1957,0.25,176.0,0
諶品璇,Outside Hitter,Womens Division,0.2297,4.0,0.0417,0.0,0.122,0.1667,24.0,0
呂玟君,Middle Blocker,Womens Division,0.2653,28.0,0.0242,0.2361,0.1404,0.0333,127.0,0
陳盈綺,Outside Hitter,Womens Division,0.2682,7.0,0.0118,0.3031,0.1718,0.4,116.0,0
亞美娜,Outside Hitter,Womens Division,0.2441,1.0,0.0,0.3191,0.3286,0.0,32.0,0
高歆媛,Opposite Hitter,Womens Division,0.2527,5.0,0.0,0.3118,0.2545,0.1875,75.0,0
詹佳茵,Libero,Womens Division,,0.0,,0.3785,0.2455,0.0952,0.0,0
温逸凱,Outside Hitter,Mens Division,0.5135,92.0,0.0606,0.4799,0.2303,0.0,1236.0,0
陳昱碩,Libero,Mens Division,,0.0,,0.5143,0.2381,0.0,0.0,0
許廷恩,Setter,Mens Division,,1.0,0.0,,0.0,0.0,1.0,0
吳旭弘,Middle Blocker,Mens Division,0.4179,14.0,0.019,0.0,0.0233,,44.0,0
莊岳祥,Opposite Hitter,Mens Division,0.2593,0.0,0.0,,0.0,,7.0,0
張弘燁,Outside Hitter,Mens Division,0.4737,1.0,0.0,0.3333,0.0,,10.0,0
許睿恩,Middle Blocker,Mens Division,0.4439,126.0,0.0209,0.3095,0.1073,0.0,342.0,0
許家騰,Opposite Hitter,Mens Division,0.1,1.0,0.0426,,0.1818,,4.0,0
洪熙鈞,Outside Hitter,Mens Division,0.4453,6.0,0.0373,0.372,0.1271,0.0,195.0,0
甘茂宏,Middle Blocker,Mens Division,0.5009,159.0,0.0384,0.2857,0.0943,,458.0,0
廖士勛,Outside Hitter,Mens Division,0.6667,0.0,0.0,0.4412,0.1622,0.0,2.0,0
黃文彥,Opposite Hitter,Mens Division,0.4444,2.0,0.0,0.2963,0.3077,,14.0,0
李權紘,Outside Hitter,Mens Division,0.5113,10.0,0.0164,0.1923,0.1429,0.0,79.0,0
陳玠廷,Libero,Mens Division,,0.0,,0.4783,0.2222,,0.0,0
陳裕仁,Setter,Mens Division,0.4746,19.0,0.0161,0.0,0.1095,0.3412,52.0,0
施宗諭,Middle Blocker,Mens Division,0.5449,38.0,0.0202,0.0769,0.0851,,144.0,0
李修瑜,Outside Hitter,Mens Division,,0.0,0.0,0.5,0.0,,0.0,0
陳朝璽,Setter,Mens Division,0.3425,23.0,0.0355,0.0,0.1403,0.2127,62.0,0
廖閎昇,Middle Blocker,Mens Division,0.408,89.0,0.0267,0.2813,0.1212,0.0,255.0,0
林聖恩,Outside Hitter,Mens Division,0.4286,42.0,0.0497,0.4443,0.1886,0.0,618.0,0
楊子頡,Outside Hitter,Mens Division,0.3333,4.0,0.0556,0.1628,0.0,,19.0,0
周育霆,Setter,Mens Division,,0.0,0.0,,0.0,0.3333,0.0,0
吳沛緹,Outside Hitter,Womens Division,0.2396,8.0,0.0243,0.3242,0.2227,0.0,211.0,0
鄭伊伶,Outside Hitter,Womens Division,0.269,15.0,0.0395,0.2861,0.1133,0.0,113.0,0
黃珮甄,Opposite Hitter,Womens Division,0.2584,5.0,0.0328,0.2281,0.11,,101.0,0
江昀庭,Libero,Womens Division,0.1714,1.0,0.0667,0.426,0.3013,0.0,8.0,0
張稦豈,Opposite Hitter,Womens Division,0.349,30.0,0.0313,0.2,0.1848,0.0,328.0,0
張洵瑞,Setter,Womens Division,0.25,9.0,0.0258,0.0,0.1458,0.1899,23.0,0
胡宸穎,Middle Blocker,Womens Division,0.3205,17.0,0.0905,0.2791,0.1226,0.0,145.0,0
李思依,Libero,Womens Division,0.375,0.0,0.0,0.3608,0.1554,0.0,6.0,0
李子嫣,Middle Blocker,Womens Division,0.3391,10.0,0.0451,0.1892,0.1189,,120.0,0
吳佩茹,Outside Hitter,Womens Division,0.3099,9.0,0.0264,0.3786,0.1584,,257.0,0
潘宣蓉,Middle Blocker,Womens Division,0.2665,27.0,0.0432,0.1667,0.1159,0.0,127.0,0
Beatriz,Opposite Hitter,Womens Division,0.4122,12.0,0.0409,0.1622,0.1259,0.0,235.0,0
Valdez,Middle Blocker,Womens Division,0.4599,49.0,0.0372,0.2,0.0352,0.0,268.0,0
陳亭汝,Setter,Womens Division,0.4161,44.0,0.0295,0.0,0.1892,0.2182,129.0,0
Milana,Setter,Womens Division,0.4255,26.0,0.0802,0.0,0.0253,0.2204,83.0,0
Berkeley,Middle Blocker,Womens Division,0.4484,63.0,0.0493,0.1667,0.0597,0.0,251.0,0
黃素琴,Outside Hitter,Womens Division,0.5,1.0,0.0,0.2069,0.1622,,3.0,0
彭?媃,Opposite Hitter,Womens Division,0.2651,2.0,0.0161,0.24,0.2099,0.5,47.0,0
郭覲儀,Libero,Womens Division,,0.0,0.0,0.5789,0.3881,,0.0,0
Maria,Opposite Hitter,Womens Division,0.3568,12.0,0.0606,0.3333,0.0643,,89.0,0
Renele,Middle Blocker,Womens Division,0.2963,17.0,0.0444,0.3333,0.06,0.0,29.0,0
Peonia,Outside Hitter,Womens Division,0.3563,8.0,0.0381,0.1792,0.1053,0.0,100.0,0
漢娜,Middle Blocker,Womens Division,0.4565,6.0,0.0,0.2857,0.0385,,27.0,0
陳恩得,Opposite Hitter,Mens Division,0.5049,79.0,0.0277,0.1923,0.2448,,708.0,0
高得益,Setter,Mens Division,0.25,2.0,0.0274,,0.0,0.2513,5.0,0
林韋翔,Middle Blocker,Mens Division,0.32,8.0,0.0,0.0,0.0,,16.0,0
洪宇叡,Outside Hitter,Mens Division,0.4667,14.0,0.0517,0.5242,0.1867,0.3333,118.0,0
洪晨祐,Libero,Mens Division,0.0,0.0,,0.4308,0.3058,,0.0,0
林暘程,Middle Blocker,Mens Division,0.4964,77.0,0.0186,0.2692,0.1321,,220.0,0
楊承恩,Middle Blocker,Mens Division,0.4713,20.0,0.0048,0.4,0.1176,,95.0,0
鄭振堃,Opposite Hitter,Mens Division,0.4963,24.0,0.0113,0.125,0.1961,,93.0,0
陳柏勳,Outside Hitter,Mens Division,1.0,0.0,,0.5,0.25,,1.0,0
劉昱麟,Outside Hitter,Mens Division,0.4836,73.0,0.0651,0.5215,0.2601,,847.0,0
劉少宇,Setter,Mens Division,0.6,7.0,0.0317,0.0,0.1475,0.302,17.0,0
陳冠中,Middle Blocker,Mens Division,0.4498,62.0,0.0561,0.375,0.1651,,179.0,0
Bryan,Outside Hitter,Mens Division,0.6027,44.0,0.0994,0.5096,0.2032,,575.0,0
呂姜耀凱,Middle Blocker,Mens Division,0.5914,153.0,0.0152,0.4194,0.1016,0.0,410.0,0
林冠洲,Outside Hitter,Mens Division,0.438,4.0,0.0404,0.568,0.2323,,66.0,0
呂慶鴻,Libero,Mens Division,1.0,0.0,0.0,0.6377,0.3664,,1.0,0
汪秉勳,Opposite Hitter,Mens Division,0.5882,32.0,0.0269,0.7143,0.1231,,130.0,0
簡名均,Opposite Hitter,Mens Division,0.4566,18.0,0.018,0.0,0.1609,,163.0,0
黃謙巽,Outside Hitter,Mens Division,0.5,0.0,0.0417,0.4118,0.0667,,16.0,0
陳冠銘,Opposite Hitter,Mens Division,0.5862,0.0,0.0488,,0.1053,,36.0,0
林嘉偉,Setter,Mens Division,0.4595,30.0,0.0191,0.1111,0.1867,0.3179,60.0,0
周子洋,Libero,Mens Division,,0.0,,0.6,,,0.0,0
陳安,Setter,Mens Division,0.0,0.0,0.0,0.0,0.3333,0.0,0.0,0
朱禹丞,Opposite Hitter,Mens Division,0.4286,0.0,0.0,,0.0,,9.0,0
林裕鈞,Middle Blocker,Mens Division,0.4817,137.0,0.0294,0.3913,0.122,,327.0,0
郭柏毅,Setter,Mens Division,0.4286,13.0,0.0441,0.5,0.1933,0.3102,40.0,0
李元,Libero,Mens Division,,0.0,,0.2273,0.25,0.0,0.0,0
沈建欽,Outside Hitter,Mens Division,0.4656,8.0,0.0633,0.0,0.2609,,74.0,0
吳欣翰,Outside Hitter,Mens Division,,0.0,0.0,0.0,,,0.0,0
Bia,Opposite Hitter,Womens Division,0.4187,32.0,0.0384,0.3077,0.34,0.3333,473.0,0
王育文,Middle Blocker,Womens Division,0.3462,2.0,0.0169,0.3333,0.2759,,30.0,0
劉玉淳,Setter,Womens Division,0.4161,19.0,0.0578,0.1111,0.2536,0.1947,105.0,0
江辰翊,Setter,Womens Division,0.2927,1.0,0.0271,0.0,0.178,0.232,20.0,0
蘇子倩,Setter,Womens Division,0.3333,1.0,0.0233,0.0,0.1707,0.1126,3.0,0
吳閩育,Libero,Womens Division,,0.0,0.0,0.4922,0.4358,,0.0,0
潘宣妏,Middle Blocker,Womens Division,0.0556,1.0,0.2,,0.2222,,4.0,0
ZSANETT,Outside Hitter,Womens Division,0.3196,22.0,0.0788,0.4289,0.2941,,247.0,0
林庭葳,Middle Blocker,Womens Division,0.0,0.0,0.0,,0.0,,0.0,0
SARA,Outside Hitter,Womens Division,0.3269,26.0,0.0247,0.425,0.2574,,236.0,0
葉軒岑,Middle Blocker,Womens Division,0.3056,18.0,0.0096,0.3333,0.2823,,167.0,0
丁柔安,Setter,Womens Division,,0.0,0.0,0.4889,0.3803,0.1071,0.0,0
Ipek Vural,Setter,Womens Division,0.0,1.0,0.0,,0.0,0.2683,1.0,0
吳詠涵,Outside Hitter,Womens Division,0.2692,0.0,0.0164,0.3333,0.2444,,8.0,0
Santos,Outside Hitter,Womens Division,0.3882,42.0,0.1193,0.4912,0.3517,0.0,740.0,0
Blanco,Middle Blocker,Womens Division,0.4492,94.0,0.0483,0.25,0.1855,,473.0,0
Gabi,Middle Blocker,Womens Division,0.3485,39.0,0.0435,0.4667,0.1983,0.0,118.0,0
張雪晴,Outside Hitter,Womens Division,,0.0,0.0,0.0,0.0,,0.0,0
吳伶瑾,Opposite Hitter,Womens Division,0.0,2.0,0.0,,0.0,,2.0,0
李元,Outside Hitter,Mens Division,0.461,41.0,0.036,0.537,0.2417,,612.0,0
鄭聖叡,Opposite Hitter,Mens Division,0.3361,5.0,0.0302,0.3794,0.1121,,92.0,0
張皓博,Outside Hitter,Mens Division,0.4008,13.0,0.0149,0.5135,0.2636,,121.0,0
陳佑誠,Libero,Mens Division,,0.0,,0.5686,0.3638,,0.0,0
施宇祥,Outside Hitter,Mens Division,0.4403,25.0,0.0281,0.6171,0.3397,,236.0,0
張安成,Middle Blocker,Mens Division,0.3429,7.0,0.0,0.0,0.25,,19.0,0
高宇浩,Outside Hitter,Mens Division,0.4082,4.0,0.0357,0.5763,0.1429,,26.0,0
陳柏勳,Libero,Mens Division,,0.0,0.0,0.5841,0.3665,,0.0,0
黃意凱,Outside Hitter,Mens Division,,0.0,0.0,0.5217,0.275,,0.0,0
郭其昌,Outside Hitter,Mens Division,0.4,0.0,0.0,0.1667,0.0,,2.0,0
B.BAGUNAS,Outside Hitter,Mens Division,0.6474,30.0,0.0777,0.5411,0.2722,,500.0,0
施琅,Outside Hitter,Mens Division,0.5535,76.0,0.0583,0.4593,0.2637,,681.0,0
汪秉勳,Middle Blocker,Mens Division,0.516,81.0,0.0329,0.3429,0.1619,,224.0,0
陳冠銘,Middle Blocker,Mens Division,0.4,9.0,0.0119,0.5,0.1053,,20.0,0
鄭偉志,Outside Hitter,Mens Division,0.439,3.0,0.0282,0.6116,0.1842,,61.0,0
陳鈺霖,Middle Blocker,Mens Division,0.5501,59.0,0.0529,0.3659,0.256,,284.0,0
莊庾翔,Outside Hitter,Mens Division,0.3154,7.0,0.0,0.6111,0.2632,,48.0,0
馮品恒,Setter,Mens Division,0.1852,12.0,0.0232,0.0,0.1553,0.2836,24.0,0
黃祈鈞,Outside Hitter,Mens Division,0.3333,0.0,0.0,0.2407,0.3636,,14.0,0
許晉愷,Libero,Mens Division,0.0,0.0,0.0,0.5595,0.3528,0.0,0.0,0
陳冠丞,Libero,Mens Division,0.0,0.0,0.0,0.25,0.3158,,0.0,0
林柏緯,Setter,Mens Division,0.0,0.0,0.0,,0.1333,0.2424,0.0,0
賴建豪,Middle Blocker,Mens Division,0.5036,63.0,0.0134,0.25,0.1667,,208.0,0
莊子霖,Outside Hitter,Mens Division,0.4476,38.0,0.0179,0.4806,0.1622,,405.0,0
楊展睿,Outside Hitter,Mens Division,0.4,0.0,0.0333,0.3387,0.0714,,21.0,0
